ncessch,year,%Female,%Male
60000103278.0,2011,0.478515625,0.521484375
60000103278.0,2013,0.49176470588235294,0.508235294117647
60000103278.0,2015,0.5145118733509235,0.48548812664907653
60000103278.0,2017,0.46630727762803237,0.5336927223719676
60000113859.0,2017,0.49719101123595505,0.5028089887640449
60000113904.0,2017,0.532512315270936,0.46748768472906405
60000310347.0,2011,0.48314606741573035,0.5168539325842697
60000310347.0,2013,0.4742990654205608,0.5257009345794392
60000310347.0,2015,0.4744525547445255,0.5255474452554745
60000310347.0,2017,0.5025773195876289,0.49742268041237114
60000710348.0,2015,0.49193548387096775,0.5080645161290323
60000710348.0,2017,0.46070460704607047,0.5392953929539296
60001109065.0,2011,0.5375,0.4625
60001109065.0,2013,0.4927536231884058,0.5072463768115942
60001302405.0,2011,0.5114503816793893,0.48854961832061067
60001302405.0,2013,0.5104445634708088,0.4895554365291912
60001302405.0,2015,0.4884318766066838,0.5115681233933161
60001302405.0,2017,0.48357487922705317,0.5164251207729469
60001311010.0,2011,0.5042348955392434,0.4957651044607566
60001311010.0,2013,0.48994326972666324,0.5100567302733368
60001311010.0,2015,0.49073120494335737,0.5092687950566427
60001311010.0,2017,0.49142550911039656,0.5085744908896034
60001312390.0,2017,0.5299479166666666,0.4700520833333333
60001405093.0,2011,0.49318181818181817,0.5068181818181818
60001405093.0,2013,0.4919864011656144,0.5080135988343856
60001405093.0,2015,0.4938398357289528,0.5061601642710473
60001409072.0,2011,0.5007641365257259,0.49923586347427407
60001409072.0,2013,0.4893509127789047,0.5106490872210954
60001409072.0,2015,0.47765640516385305,0.522343594836147
60001411118.0,2013,0.3051643192488263,0.6948356807511737
60001411899.0,2017,0.5377358490566038,0.46226415094339623
60001412417.0,2011,0.46963028169014087,0.5303697183098591
60001412417.0,2013,0.4802306425041186,0.5197693574958814
60001412417.0,2015,0.4893794252394835,0.5106205747605165
60001511860.0,2017,0.5048959608323134,0.49510403916768664
60001609086.0,2011,0.49691991786447637,0.5030800821355236
60001609086.0,2013,0.5034090909090909,0.4965909090909091
60001609086.0,2015,0.49602590521047984,0.5039740947895202
60001609086.0,2017,0.49284825870646765,0.5071517412935324
60001707296.0,2013,0.5193409742120344,0.4806590257879656
60001707296.0,2017,0.5,0.5
60001708297.0,2011,0.48312801285484736,0.5168719871451527
60001708297.0,2013,0.4972136222910217,0.5027863777089784
