ncessch,year,%Asian,%Black,%Hispanic,"%Indigenous 
American ",%Multiracial,"%Pacific 
Islander",%White
60000103278.0,2011,0.013671875,0.0078125,0.283203125,0.0078125,0.025390625,0.00390625,0.658203125
60000103278.0,2013,0.009411764705882352,0.009411764705882352,0.3341176470588235,0.01647058823529412,0.04470588235294118,0.004705882352941176,0.5811764705882353
60000103278.0,2015,0.005277044854881266,0.010554089709762533,0.2638522427440633,0.005277044854881266,0.2955145118733509,0.005277044854881266,0.41424802110817943
60000103278.0,2017,0.01078167115902965,0.0215633423180593,0.40700808625336926,0.013477088948787063,0.013477088948787063,,0.5336927223719676
60000113859.0,2017,0.02071629213483146,0.059691011235955056,0.26509831460674155,0.002106741573033708,0.12254213483146068,,0.5298455056179775
60000113904.0,2017,0.05517241379310345,0.026108374384236452,0.31773399014778325,0.0009852216748768472,0.16305418719211823,0.0004926108374384236,0.43645320197044335
60000310347.0,2011,0.08314606741573034,0.09662921348314607,0.4202247191011236,0.008988764044943821,0.029213483146067417,0.008988764044943821,0.35280898876404493
60000310347.0,2013,0.12149532710280374,0.10046728971962617,0.4439252336448598,0.009345794392523364,0.030373831775700934,0.004672897196261682,0.2897196261682243
60000310347.0,2015,0.10462287104622871,0.0827250608272506,0.4768856447688564,0.004866180048661801,0.06082725060827251,0.004866180048661801,0.26520681265206814
60000310347.0,2017,0.11855670103092783,0.07474226804123711,0.520618556701031,,0.059278350515463915,0.005154639175257732,0.22164948453608246
60000710348.0,2015,0.026881720430107527,0.06720430107526881,0.5994623655913979,,0.03494623655913978,0.010752688172043012,0.260752688172043
60000710348.0,2017,0.032520325203252036,0.06775067750677506,0.5826558265582655,,0.032520325203252036,0.013550135501355014,0.28184281842818426
60001109065.0,2011,0.05,0.05,0.0875,0.0875,,,0.725
60001109065.0,2013,0.028985507246376812,0.057971014492753624,0.10144927536231885,0.057971014492753624,,,0.7536231884057971
60001302405.0,2011,0.04634678298800436,0.008724100327153763,0.14940021810250817,0.0054525627044711015,0.06761177753544166,0.026717557251908396,0.6957470010905126
60001302405.0,2013,0.0712372790573112,0.01339046598821639,0.14033208355650775,0.0021424745581146223,0.061596143545795394,0.003749330476700589,0.7075522228173541
60001302405.0,2015,0.08380462724935733,0.012853470437017995,0.14704370179948587,0.005141388174807198,0.0699228791773779,0.005141388174807198,0.6760925449871465
60001302405.0,2017,0.10386473429951691,0.01352657004830918,0.1396135265700483,0.005314009661835749,0.05652173913043478,0.002898550724637681,0.6782608695652174
60001311010.0,2011,0.06832298136645963,0.020892151326933936,0.13608130999435347,0.00564652738565782,0.05307735742518351,0.039525691699604744,0.6764539808018069
60001311010.0,2013,0.1072717895822589,0.019082001031459517,0.13202681794739557,0.005157297576070139,0.07013924703455389,0.005157297576070139,0.6611655492521918
60001311010.0,2015,0.12409886714727085,0.017507723995880537,0.12564366632337795,0.003604531410916581,0.07466529351184346,0.003604531410916581,0.650875386199794
60001311010.0,2017,0.13879957127545553,0.02090032154340836,0.1645230439442658,0.004287245444801715,0.06484458735262594,0.003215434083601286,0.6034297963558414
60001312390.0,2017,0.171875,0.014322916666666666,0.12760416666666666,0.00390625,0.11197916666666667,0.0013020833333333333,0.5690104166666666
60001405093.0,2011,0.011363636363636364,0.07272727272727272,0.5404545454545454,0.004545454545454545,0.005909090909090909,0.004545454545454545,0.36045454545454547
60001405093.0,2013,0.012141816415735794,0.06313744536182612,0.55560951918407,0.006313744536182613,0.013598834385624089,0.003399708596406022,0.3457989315201554
60001405093.0,2015,0.009753593429158111,0.059034907597535935,0.5949691991786448,0.006673511293634497,0.01591375770020534,0.003593429158110883,0.31006160164271046
60001409072.0,2011,0.018848700967906265,0.06928171166581763,0.6989302088639837,0.0020376974019358125,0.005094243504839531,0.006622516556291391,0.19918492103922567
60001409072.0,2013,0.014198782961460446,0.07809330628803246,0.72920892494929,0.0035496957403651115,0.0035496957403651115,0.0035496957403651115,0.1678498985801217
60001409072.0,2015,0.015392254220456803,0.08689175769612711,0.7318768619662364,0.003475670307845084,0.004965243296921549,0.0019860973187686196,0.15541211519364448
60001411118.0,2013,0.009389671361502348,0.11737089201877934,0.596244131455399,0.009389671361502348,0.009389671361502348,,0.25821596244131456
60001411899.0,2017,0.02358490566037736,0.05188679245283019,0.6367924528301887,,0.05188679245283019,,0.2358490566037736
60001412417.0,2011,0.020246478873239437,0.09683098591549295,0.5563380281690141,0.0044014084507042256,0.005721830985915493,0.0030809859154929575,0.31338028169014087
60001412417.0,2013,0.02018121911037891,0.08813838550247118,0.5687808896210873,0.0016474464579901153,0.01029654036243822,0.002883031301482702,0.30807248764415157
60001412417.0,2015,0.024156601416076635,0.08912952936276551,0.590170762182424,0.007913369429404415,0.007913369429404415,0.0029154518950437317,0.2778009162848813
60001511860.0,2017,0.0605875152998776,0.044063647490820076,0.30660954712362304,0.0036719706242350062,0.07711138310893513,0.0012239902080783353,0.5067319461444308
60001609086.0,2011,0.054854796127896746,0.08389557054854796,0.46934584922264594,0.004693458492226459,0.02757406864183045,0.024053974772660604,0.33558228219419184
60001609086.0,2013,0.07017045454545455,0.09232954545454546,0.5099431818181818,0.002840909090909091,0.028409090909090908,0.004545454545454545,0.2917613636363636
60001609086.0,2015,0.07536061230497498,0.09390638798940242,0.5443037974683544,0.005593170444509862,0.020606417427141595,0.006476302619958787,0.25375331174565796
60001609086.0,2017,0.08115671641791045,0.09514925373134328,0.5534825870646766,0.005597014925373134,0.020522388059701493,0.007151741293532339,0.23694029850746268
60001707296.0,2013,0.05659025787965616,0.03939828080229226,0.29297994269340977,0.0028653295128939827,0.08237822349570201,0.0028653295128939827,0.5229226361031518
