,crdc_id,year,ncessch,leaid,teachers_fte_crdc,teachers_certified_fte,teachers_uncertified_fte,teachers_first_year_fte,teachers_second_year_fte,teachers_current_sy,teachers_previous_sy,teachers_absent_fte,counselors_fte,psychologists_fte,social_workers_fte,nurses_fte,security_guard_fte,law_enforcement_fte,law_enforcement_ind
52,060001409081,2011,060001409081,0600014,31.0,30.0,,1.0,0.0,,,6.0,,,,,,,
53,060001409082,2011,060001409082,0600014,31.0,31.0,,2.0,3.0,,,8.0,,,,,,,
54,060001409476,2011,060001409476,0600014,19.0,19.0,,0.0,0.0,,,5.0,,,,,,,
55,060001409477,2011,060001409477,0600014,25.0,25.0,,2.0,0.0,,,8.0,,,,,,,
56,060001409676,2011,060001409676,0600014,45.0,45.0,,6.0,0.0,,,23.0,,,,,,,
57,060001411119,2011,060001411119,0600014,27.0,27.0,,2.0,0.0,,,3.0,,,,,,,
58,060001412100,2011,060001412100,0600014,11.0,11.0,,0.0,1.0,,,3.0,1.0,,,,,,
59,060001412103,2011,060001412103,0600014,45.0,45.0,,3.0,3.0,,,17.0,,,,,,,
60,060001412171,2011,060001412171,0600014,36.0,36.0,,6.0,0.0,,,7.0,,,,,,,
61,060001412415,2011,060001412415,0600014,24.0,24.0,,0.0,0.0,,,7.0,,,,,,,
62,060001412417,2011,060001412417,0600014,85.0,82.0,,12.0,15.0,,,27.0,4.0,,,,,,
63,060001503907,2011,060001503907,0600015,1.0,1.0,,0.0,0.0,,,0.0,0.0,,,,,,
64,060001506466,2011,060001506466,0600015,1.0,1.0,,0.0,0.0,,,1.0,0.0,,,,,,
65,060001509083,2011,060001509083,0600015,23.0,23.0,,2.0,3.0,,,5.0,,,,,,,
66,060001509084,2011,060001509084,0600015,7.0,6.25,,0.0,0.0,,,1.0,,,,,,,
67,060001510305,2011,060001510305,0600015,14.0,13.25,,2.0,0.0,,,4.0,0.0,,,,,,
68,060001511860,2011,060001511860,0600015,67.0,67.64,,3.76,7.56,,,0.0,0.25,,,,,,
69,060001609085,2011,060001609085,0600016,11.0,11.0,,0.0,0.0,,,9.0,1.0,,,,,,
70,060001609086,2011,060001609086,0600016,123.0,123.0,,0.0,0.0,,,70.0,7.0,,,,,,
71,060001609087,2011,060001609087,0600016,23.0,23.0,,0.0,0.0,,,19.0,,,,,,,
72,060001609088,2011,060001609088,0600016,27.0,27.0,,0.0,0.0,,,17.0,,,,,,,
73,060001609089,2011,060001609089,0600016,25.0,25.0,,0.0,0.0,,,19.0,,,,,,,
74,060001609090,2011,060001609090,0600016,16.0,16.0,,0.0,0.0,,,11.0,,,,,,,
75,060001609091,2011,060001609091,0600016,21.0,21.0,,0.0,0.0,,,11.0,,,,,,,
76,060001609092,2011,060001609092,0600016,35.0,35.0,,0.0,0.0,,,18.0,,,,,,,
77,060001609093,2011,060001609093,0600016,14.0,14.0,,0.0,0.0,,,14.0,,,,,,,
78,060001609094,2011,060001609094,0600016,16.0,16.0,,0.0,0.0,,,15.0,,,,,,,
79,060001609095,2011,060001609095,0600016,19.0,19.0,,0.0,0.0,,,19.0,,,,,,,
80,060001609096,2011,060001609096,0600016,34.0,34.0,,0.0,0.0,,,28.0,,,,,,,
81,060001609097,2011,060001609097,0600016,22.0,22.0,,0.0,0.0,,,9.0,,,,,,,
82,060001609678,2011,060001609678,0600016,27.0,27.0,,0.0,0.0,,,9.0,,,,,,,
83,060001701149,2011,060001701149,0600017,27.0,27.0,,0.0,0.0,,,10.0,,,,,,,
84,060001705167,2011,060001705167,0600017,21.0,21.0,,0.0,0.0,,,5.0,,,,,,,
85,060001708297,2011,060001708297,0600017,53.0,53.0,,0.0,0.0,,,19.0,3.0,,,,,,
86,060001708588,2011,060001708588,0600017,13.0,13.66,,0.0,0.0,,,0.0,0.9,,,,,,
87,060001709098,2011,060001709098,0600017,65.0,65.0,,0.0,0.0,,,17.0,4.0,,,,,,
88,060001709099,2011,060001709099,0600017,2.0,2.0,,0.0,0.0,,,0.0,0.1,,,,,,
89,060001709100,2011,060001709100,0600017,20.0,20.0,,0.0,0.0,,,5.0,,,,,,,
90,060001709101,2011,060001709101,0600017,26.0,26.0,,0.0,0.0,,,12.0,,,,,,,
91,060001709102,2011,060001709102,0600017,24.0,24.0,,0.0,0.0,,,14.0,,,,,,,
92,060001709103,2011,060001709103,0600017,20.0,20.0,,0.0,0.0,,,9.0,,,,,,,
93,060001709272,2011,060001709272,0600017,29.0,29.0,,0.0,0.0,,,10.0,,,,,,,
94,060001711122,2011,060001711122,0600017,42.0,42.33,,0.0,0.0,,,11.0,,,,,,,
95,060001711747,2011,060001711747,0600017,52.0,52.5,,0.0,0.0,,,19.0,,,,,,,
96,060001712663,2011,060001712663,0600017,39.0,39.5,,0.0,0.0,,,11.0,,,,,,,
97,060001808418,2011,060001808418,0600018,1.0,1.15,,0.0,0.0,,,0.0,0.0,,,,,,
98,060001809106,2011,060001809106,0600018,0.0,0.67,,0.0,0.0,,,0.0,0.0,,,,,,
99,060001809107,2011,060001809107,0600018,8.0,8.0,,0.0,0.0,,,2.0,0.0,,,,,,
100,060001809108,2011,060001809108,0600018,11.0,11.18,,1.0,1.0,,,1.0,,,,,,,
101,060001809109,2011,060001809109,0600018,1.0,1.15,,0.0,0.0,,,1.0,,,,,,,
102,060001906929,2011,060001906929,0600019,22.0,22.0,,0.6,0.0,,,4.0,,,,,,,
103,060001908443,2011,060001908443,0600019,28.0,28.0,,3.0,1.0,,,4.0,,,,,,,
104,060001909273,2011,060001909273,0600019,64.0,64.2,,4.6,1.4,,,10.0,4.0,,,,,,
105,060001909274,2011,060001909274,0600019,6.0,6.8,,0.0,0.0,,,1.0,1.0,,,,,,
106,060001909275,2011,060001909275,0600019,24.0,24.0,,0.0,0.0,,,3.0,,,,,,,
107,060001909276,2011,060001909276,0600019,15.0,15.0,,0.0,0.0,,,6.0,,,,,,,
108,060001909278,2011,060001909278,0600019,28.0,28.6,,0.0,0.0,,,7.0,,,,,,,
109,060001910735,2011,060001910735,0600019,31.0,31.9,,0.0,1.0,,,5.0,,,,,,,
110,060001912078,2011,060001912078,0600019,28.0,28.0,,0.0,0.0,,,2.0,,,,,,,
111,060001999999,2011,060001912927,0600019,24.0,24.0,,3.0,1.0,,,5.0,,,,,,,
112,060002006951,2011,060002006951,0600020,26.0,26.0,,2.0,0.0,,,5.0,,,,,,,
113,060002008444,2011,060002008444,0600020,42.0,42.67,,2.0,0.0,,,7.5,,,,,,,
114,060002008445,2011,060002008445,0600020,26.0,26.0,,0.0,0.0,,,3.0,,,,,,,
115,060002009279,2011,060002009279,0600020,87.0,87.0,,1.6,0.2,,,19.8,5.6,,,,,,
116,060002009280,2011,060002009280,0600020,14.0,14.4,,0.4,0.0,,,4.0,1.0,,,,,,
117,060002009282,2011,060002009282,0600020,103.0,103.23,,1.6,0.6,,,28.0,7.2,,,,,,
118,060002009283,2011,060002009283,0600020,31.0,31.0,,3.0,0.0,,,7.0,,,,,,,
119,060002009284,2011,060002009284,0600020,29.0,29.0,,3.0,1.0,,,8.0,,,,,,,
120,060002009285,2011,060002009285,0600020,26.0,26.02,,1.0,1.0,,,5.97,,,,,,,
121,060002009286,2011,060002009286,0600020,28.0,28.0,,1.0,0.0,,,6.0,,,,,,,
122,060002009287,2011,060002009287,0600020,28.0,28.0,,1.0,0.0,,,5.1,,,,,,,
123,060002009288,2011,060002009288,0600020,26.0,26.0,,0.0,1.0,,,9.0,,,,,,,
124,060002009289,2011,060002009289,0600020,50.0,50.77,,0.67,1.0,,,8.83,,,,,,,
125,060002009290,2011,060002009290,0600020,26.0,26.0,,1.0,0.0,,,4.0,,,,,,,
126,060002009682,2011,060002009682,0600020,50.0,50.98,,1.33,3.67,,,11.0,,,,,,,
127,060002099999,2011,,,4.0,4.8,,0.0,0.0,,,2.0,,,,,,,
128,060002109291,2011,060002109291,0600021,10.0,10.86,,0.0,2.0,,,2.0,,,,,,,
129,060002200374,2011,060002200374,0600022,2.0,2.0,,0.0,0.0,,,0.0,0.0,,,,,,
130,060002200395,2011,060002200395,0600022,35.0,35.0,,3.0,4.0,,,13.0,2.0,,,,,,
131,060002207970,2011,060002207970,0600022,1.0,1.0,,0.0,0.0,,,0.0,0.0,,,,,,
132,060002209292,2011,060002209292,0600022,45.0,45.0,,3.0,0.0,,,17.0,,,,,,,
