year,ncessch,students_AP_exam_none,students_AP_exam_oneormore,latitude,longitude,enrollment,school_name,AP_oneormore_relative,teachers_per_student,security_gaurds_per_students,avg_teacher_salary,%Asian,%Black,%Hispanic,"%Indigenous 
American ",%Multiracial,"%Pacific 
Islander",%White,%Female,%Male,enrl_AP,enrl_AP_science,enrl_AP_math,enrl_AP_other,enrl_gifted_talented,students_SAT_ACT,students_chronically_absent,students_report_harass_dis,students_susp_in_sch,students_susp_out_sch_single,students_susp_out_sch_multiple,students_arrested,avg_teacher_salary_1K
2011,60000103278.0,89.0,42.0,34.49362,-118.21611,513.0,VASQUEZ HIGH,0.08187134502923976,0.0483870967741935,0.0026881720430107,77612.65,0.013671875,0.0078125,0.283203125,0.0078125,0.025390625,0.00390625,0.658203125,0.478515625,0.521484375,0.2578125,0.08203125,0.0234375,0.06640625,0.1607025443229789,0.048828125,0.08203125,0.0,0.0,0.076171875,0.044921875,0.0,77.61264999999999
2011,60000310347.0,13.0,2.0,37.559633,-121.963038,420.0,CALIFORNIA SCHOOL FOR THE DEAF-FREMONT,0.004761904761904762,0.3146666666666666,0.0,84851.57647058823,0.0831460674157303,0.096629213483146,0.4202247191011236,0.0089887640449438,0.0292134831460674,0.0089887640449438,0.3528089887640449,0.4831460674157303,0.5168539325842697,0.0292134831460674,0.0,0.0224719101123595,0.0224719101123595,0.0781432446491277,0.0651685393258427,0.2382022471910112,0.0089887640449438,0.0292134831460674,0.1078651685393258,0.0741573033707865,0.0,84.85157647058823
2011,60001302405.0,11.0,483.0,38.813629,-121.253474,1843.0,ROCKLIN HIGH,0.26207270754205103,0.0448841698841698,0.0,51197.72413793104,0.0463467829880043,0.0087241003271537,0.1494002181025081,0.0054525627044711,0.0676117775354416,0.0267175572519083,0.6957470010905126,0.5114503816793893,0.4885496183206106,0.277535441657579,0.1079607415485278,0.09432933478735,0.2170119956379498,0.1603053435114503,0.2284623773173391,0.0768811341330425,0.0,0.1499454743729553,0.0098146128680479,0.0577971646673936,0.0,51.19772413793105
2011,60001311010.0,0.0,424.0,38.836409,-121.289393,1777.0,WHITNEY HIGH,0.23860438942037146,0.0460878885316184,0.0,54703.36111111111,0.0683229813664596,0.0208921513269339,0.1360813099943534,0.0056465273856578,0.0530773574251835,0.0395256916996047,0.6764539808018069,0.5042348955392434,0.4957651044607566,0.2399774138904573,0.0604178430265386,0.0400903444381705,0.1355166572557876,0.0965556182947487,0.1846414455110107,0.0767927724449463,0.0,0.0423489553924336,0.0344438170525127,0.0073404856013551,0.0011293054771315,54.70336111111111
2011,60001609086.0,319.0,439.0,34.104689,-117.657452,3557.0,UPLAND HIGH,0.12341861118920437,0.0421444065695692,0.0027765726681127,75420.26016260163,0.0548547961278967,0.0838955705485479,0.4693458492226459,0.0046934584922264,0.0275740686418304,0.0240539747726606,0.3355822821941918,0.4969199178644763,0.5030800821355236,0.2246993253153417,0.0748019947198592,0.0721619243179818,0.1463772367263127,0.1405104136110296,0.1349369316515107,0.1000293341155764,0.0,0.0,0.0492813141683778,0.0105602816075095,0.0,75.42026016260162
2011,60001708297.0,125.0,159.0,34.508882,-117.165257,1858.0,GRANITE HILLS HIGH,0.08557588805166846,0.0495526496902959,0.0032690984170681,69564.49056603774,0.0342795929298339,0.1322978039635779,0.3652919121585431,0.0021424745581146,0.0149973219068023,0.0117836100696304,0.4392072844134976,0.4831280128548473,0.5168719871451527,0.1633636850562399,0.0,0.0583824317086234,0.1424745581146224,0.1788966256025709,0.0921264059989287,0.177289769683985,0.0,0.0883770755222281,0.0974825923942153,0.0519550080342795,0.0021424745581146,69.56449056603775
2011,60001709098.0,278.0,93.0,34.466832,-117.188499,2084.0,APPLE VALLEY HIGH,0.044625719769673694,0.0467246907924874,0.0030920751259734,66354.55384615385,0.0317084713677236,0.1168954093705631,0.3696166587789872,0.003312825366777,0.0018930430667297,0.011831519167061,0.4647420728821581,0.4879318504495977,0.5120681495504023,0.1855182205395172,0.0108849976336961,0.0421202082347373,0.167061050638902,0.1533364884051112,0.0866067203028869,0.1722669190724089,0.0,0.0473260766682442,0.0724088973024136,0.0331282536677709,0.0,66.35455384615385
2011,60001809107.0,11.0,10.0,40.551285,-123.17066,102.0,HAYFORK HIGH,0.09803921568627452,0.1052631578947368,0.0,56834.625,0.0,0.0,0.0980392156862745,0.1568627450980392,0.0,0.0,0.7450980392156863,0.5,0.5,0.2156862745098039,0.0,0.0,0.1176470588235294,0.2156862745098039,0.1372549019607843,0.1372549019607843,0.0,0.0784313725490196,0.1568627450980392,0.0784313725490196,0.0,56.834625
2011,60001909273.0,32.0,329.0,37.72196,-121.9271,1653.0,DUBLIN HIGH,0.19903206291591047,0.0425454545454545,0.0,66097.65625,0.302741358760429,0.0756853396901072,0.1632896305125149,0.0041716328963051,0.0184743742550655,0.0059594755661501,0.4296781883194279,0.5017878426698451,0.4982121573301549,0.2205005959475566,0.0983313468414779,0.0727056019070321,0.1835518474374255,0.1609058402860548,0.1382598331346841,0.0303933253873659,0.0,0.0,0.036352800953516,0.0089392133492252,0.0035756853396901,66.09765625
2011,60002009279.0,0.0,765.0,37.673,-121.9204,2215.0,FOOTHILL HIGH,0.3453724604966141,0.0367647058823529,0.0010340073529411,72321.37931034483,0.312861593235425,0.0218068535825545,0.0845571873609256,0.0111259457053849,0.0,0.0378282153983088,0.531820204717401,0.5006675567423231,0.4993324432576769,0.3484646194926569,0.0556297285269247,0.0898976412995104,0.0,0.144192256341789,0.2754784156653315,0.1201602136181575,0.0,0.0026702269692923,0.0418335558522474,0.0226969292389853,0.0093457943925233,72.32137931034482
