,ncessch,year,leaid_x,race,sex,students_AP_exam_none,students_AP_exam_oneormore,latitude,longitude,enrollment,school_name,AP_oneormore_relative,crdc_id_x,teachers_fte_crdc,teachers_current_sy,security_guard_fte,salaries_teachers
26,60003405470.0,2011,600034.0,99,99,54.0,166.0,38.54212,-122.817744,1682.0,WINDSOR HIGH,9.869203329369798,060003405470,65.0,0.046280023432923256,0.0035149384885764497,61882.81538461539
27,60003507903.0,2011,600035.0,99,99,18.0,61.0,36.310262,-119.20042,668.0,FARMERSVILLE HIGH,9.131736526946108,060003507903,30.0,0.050946142649199416,0.0,62873.7
28,60003603755.0,2011,600036.0,99,99,60.0,151.0,38.628297,-121.494968,1212.0,NATOMAS HIGH,12.458745874587459,060003603755,50.0,0.06570048309178744,0.0,53672.82
29,60003607250.0,2011,600036.0,99,99,6.0,23.0,38.65742,-121.494527,1365.0,NATOMAS CHARTER,1.684981684981685,060003607250,52.0,0.054884742041712405,0.0,58580.46153846154
30,60003611084.0,2011,600036.0,99,99,104.0,258.0,38.658217,-121.516802,1555.0,INDERKUM HIGH,16.59163987138264,060003611084,59.0,0.050591016548463354,0.0,52328.08474576271
31,60003611735.0,2011,600036.0,99,99,8.0,90.0,38.654634,-121.546135,479.0,NATOMAS PACIFIC PATHWAYS PREP,18.789144050104383,060003611735,20.0,0.07269789983844911,0.0,48629.9
32,60003701551.0,2011,600037.0,99,99,4.0,21.0,40.584936,-124.260516,138.0,FERNDALE HIGH,15.217391304347828,060003701551,10.0,0.0783132530120482,0.0,74270.9
33,60003801994.0,2011,600038.0,99,99,0.0,2.0,40.315151,-124.265978,6.0,MATTOLE TRIPLE JUNCTION HIGH,33.33333333333333,060003801994,3.0,0.2857142857142857,0.0,44586.333333333336
34,60003807500.0,2011,600038.0,99,99,0.0,2.0,40.251439,-124.165472,667.0,MATTOLE VALLEY CHARTER (#159),0.29985007496251875,060003807500,38.0,0.07977991746905089,0.0,34798.07894736842
35,60003907540.0,2011,600039.0,99,99,0.0,34.0,37.42529,-120.793652,699.0,DELHI HIGH,4.86409155937053,060003907540,32.0,0.048,0.0005333333333333334,29836.75
36,60004005120.0,2011,600040.0,99,99,0.0,179.0,36.431729,-119.855498,529.0,RIVERDALE HIGH,33.83742911153119,060004005120,28.0,0.05225225225225225,0.00045045045045045046,58854.107142857145
37,60004402140.0,2011,600044.0,99,99,42.0,140.0,38.62283,-122.867223,704.0,HEALDSBURG HIGH,19.886363636363637,060004402140,27.0,0.06159420289855073,0.0,57617.22222222222
38,60004507090.0,2011,600045.0,99,99,18.0,48.0,39.751481,-122.190813,669.0,ORLAND HIGH,7.174887892376682,060004507090,34.0,0.04854368932038835,0.0,49605.26470588235
39,60004607183.0,2011,600046.0,99,99,2.0,236.0,36.511567,-121.441943,757.0,GONZALES HIGH,31.175693527080583,060004607183,33.0,0.04713375796178344,0.0,68380.93939393939
40,60004707371.0,2011,600047.0,99,99,169.0,184.0,37.748206,-121.447109,2192.0,MERRILL F. WEST HIGH,8.394160583941606,060004707371,95.0,0.03771805752003772,0.005657708628005658,60246.86315789474
41,60004707380.0,2011,600047.0,99,99,36.0,87.0,37.73982,-121.4207,1925.0,TRACY HIGH,4.51948051948052,060004707380,81.0,0.037142857142857144,0.005238095238095238,60245.88888888889
42,60004712372.0,2011,600047.0,99,99,244.0,236.0,37.733322,-121.474692,1961.0,JOHN C. KIMBALL HIGH,12.034676185619581,060004712372,76.0,0.04065040650406504,0.006775067750677507,55558.76315789474
43,60004807404.0,2011,600048.0,99,99,73.0,260.0,35.618482,-120.669875,1982.0,PASO ROBLES HIGH,13.118062563067609,060004807404,89.0,0.03966402239850677,0.0,55432.8202247191
44,60004907414.0,2011,600049.0,99,99,9.0,49.0,35.568095,-121.066075,220.0,COAST UNION HIGH,22.272727272727273,060004907414,18.0,0.09424083769633508,0.0,66658.66666666667
45,60005102016.0,2011,600051.0,99,99,0.0,72.0,39.367238,-121.683586,677.0,GRIDLEY HIGH,10.635155096011816,060005102016,29.0,0.05023547880690738,0.0019623233908948193,72775.79310344828
