ncessch,year,leaid,race,sex,students_AP_exam_none,students_AP_exam_oneormore,latitude,longitude,enrollment,school_name
60006204231.0,2011,600062.0,99,99,65.0,142.0,37.761431,-120.854258,1613.0,OAKDALE HIGH
60006308657.0,2011,600063.0,99,99,0.0,192.0,37.636617,-120.775919,613.0,WATERFORD HIGH
60006404879.0,2011,600064.0,99,99,66.0,199.0,36.082917,-119.0511,1908.0,MONACHE HIGH
60006404880.0,2011,600064.0,99,99,34.0,158.0,36.064858,-119.027806,1822.0,PORTERVILLE HIGH
60006408426.0,2011,600064.0,99,99,18.0,140.0,36.068225,-118.97773,1065.0,GRANITE HILLS HIGH
60006411535.0,2011,600064.0,99,99,5.0,44.0,36.144605,-119.065591,300.0,STRATHMORE HIGH
60006412356.0,2011,600064.0,99,99,27.0,149.0,36.142749,-119.062695,509.0,HARMONY MAGNET ACADEMY
60006501242.0,2011,600065.0,99,99,134.0,125.0,36.541282,-119.386439,1825.0,DINUBA HIGH
60006700731.0,2011,600067.0,99,99,0.0,82.0,36.539757,-119.838348,532.0,CARUTHERS HIGH
60006810542.0,2011,600068.0,99,99,37.0,55.0,36.92525,-119.896518,568.0,LIBERTY HIGH
60006908607.0,2011,600069.0,99,99,98.0,163.0,33.279719,-117.024607,1266.0,VALLEY CENTER HIGH
62271011313.0,2011,622710.0,99,99,13.0,151.0,34.023364,-118.203724,588.0,ANIMO OSCAR DE LA HOYA CHARTER HIGH
,2011,,99,99,4.0,84.0,,,,
62271011635.0,2011,622710.0,99,99,16.0,112.0,34.012287,-118.243543,746.0,ANIMO RALPH BUNCHE HIGH
,2011,,99,99,18.0,57.0,,,,
62271011640.0,2011,622710.0,99,99,6.0,20.0,33.917951,-118.265218,550.0,ANIMO WATTS CHARTER HIGH
62271011639.0,2011,622710.0,99,99,9.0,49.0,33.935139,-118.260205,539.0,ANIMO LOCKE TECHNOLOGY HIGH
62271012285.0,2011,622710.0,99,99,14.0,12.0,33.934838,-118.268291,-2.0,ANIMO LOCKE CHARTER HS #3
62271012306.0,2011,622710.0,99,99,6.0,65.0,33.934838,-118.268291,811.0,ANIMO LOCKE CHARTER HIGH SCHOOL #2
62271012248.0,2011,622710.0,99,99,4.0,86.0,33.934838,-118.268291,781.0,ANIMO LOCKE CHARTER HIGH SCHOOL #1
62271010836.0,2011,622710.0,99,99,9.0,99.0,33.93356,-118.308627,617.0,ANIMO SOUTH LOS ANGELES CHARTER
62271010849.0,2011,622710.0,99,99,2.0,75.0,33.96288,-118.242143,581.0,ANIMO PAT BROWN
62142008504.0,2011,621420.0,99,99,5.0,143.0,33.9528,-118.3758,621.0,ANIMO LEADERSHIP HIGH
61839010538.0,2011,618390.0,99,99,2.0,106.0,33.959998,-118.33171,622.0,ANIMO INGLEWOOD CHARTER HIGH
60011612212.0,2011,600116.0,99,99,52.0,16.0,37.12332,-119.73076,283.0,MINARETS HIGH
60011613035.0,2011,600116.0,99,99,13.0,6.0,37.16022,-119.63833,134.0,MINARETS CHARTER HIGH
60015310929.0,2011,600153.0,99,99,44.0,579.0,34.092822,-118.128512,2892.0,ALHAMBRA HIGH
60015310930.0,2011,600153.0,99,99,11.0,537.0,34.0705,-118.115427,2508.0,MARK KEPPEL HIGH
60015310931.0,2011,600153.0,99,99,75.0,580.0,34.093276,-118.108659,2383.0,SAN GABRIEL HIGH
60015811503.0,2011,600158.0,99,99,0.0,444.0,37.531259,-120.878227,2179.0,JOHN H. PITMAN HIGH
60015811505.0,2011,600158.0,99,99,0.0,376.0,37.499374,-120.832275,2126.0,TURLOCK HIGH
60015901474.0,2011,600159.0,99,99,14.0,6.0,41.460978,-122.898945,184.0,ETNA UNION HIGH
60016007023.0,2011,600160.0,99,99,65.0,89.0,37.329104,-119.632365,785.0,YOSEMITE HIGH
,2011,,99,99,88.0,457.0,,,,
,2011,,99,99,77.0,306.0,,,,
,2011,,99,99,165.0,548.0,,,,
60133106605.0,2011,601331.0,99,99,0.0,135.0,40.7394,-122.9481,397.0,TRINITY HIGH
60133201985.0,2011,601332.0,99,99,29.0,67.0,38.681055,-121.349231,1198.0,FOOTHILL HIGH
60133201987.0,2011,601332.0,99,99,10.0,230.0,38.636503,-121.433931,2025.0,GRANT UNION HIGH
60133201988.0,2011,601332.0,99,99,68.0,43.0,38.687567,-121.357707,862.0,HIGHLANDS HIGH
60133201991.0,2011,601332.0,99,99,28.0,201.0,38.682083,-121.438464,1818.0,RIO LINDA HIGH
60133412395.0,2011,601334.0,99,99,2.0,78.0,37.473638,-122.203598,300.0,EVEREST PUBLIC HIGH
60133712390.0,2011,601337.0,99,99,18.0,49.0,38.811727,-121.298039,328.0,WESTERN SIERRA COLLEGIATE ACADEMY
60133902078.0,2011,601339.0,99,99,6.0,33.0,39.745455,-122.019033,292.0,HAMILTON HIGH
60140900491.0,2011,601409.0,99,99,17.0,64.0,37.363261,-118.398215,667.0,BISHOP UNION HIGH
60141112672.0,2011,601411.0,99,99,18.0,11.0,37.787913,-122.410987,192.0,SAN FRANCISCO FLEX ACADEMY
60162000002.0,2011,601620.0,99,99,51.0,110.0,33.845143,-118.073074,1452.0,ARTESIA HIGH
60162000010.0,2011,601620.0,99,99,62.0,794.0,33.86497,-118.065079,2190.0,CERRITOS HIGH
60162000014.0,2011,601620.0,99,99,58.0,339.0,33.873866,-118.094684,2010.0,RICHARD GAHR HIGH
60162000029.0,2011,601620.0,99,99,10.0,388.0,33.87802,-118.054413,1021.0,GRETCHEN WHITNEY HIGH
60165000032.0,2011,601650.0,99,99,30.0,459.0,37.904563,-122.096973,1386.0,ACALANES HIGH
60165000033.0,2011,601650.0,99,99,71.0,548.0,37.866819,-122.12762,1285.0,CAMPOLINDO HIGH
60165000035.0,2011,601650.0,99,99,47.0,419.0,37.89095,-122.055036,1482.0,LAS LOMAS HIGH
60165000036.0,2011,601650.0,99,99,51.0,410.0,37.841005,-122.146099,1183.0,MIRAMONTE HIGH
60177000041.0,2011,601770.0,99,99,0.0,621.0,37.764725,-122.24678,1853.0,ALAMEDA HIGH
60177000045.0,2011,601770.0,99,99,0.0,303.0,37.771566,-122.289485,1089.0,ENCINAL HIGH
60186000059.0,2011,601860.0,99,99,0.0,0.0,37.89549,-122.291204,1200.0,ALBANY HIGH
60243000134.0,2011,602430.0,99,99,70.0,338.0,33.90872,-117.479077,3300.0,LA SIERRA HIGH
60243000137.0,2011,602430.0,99,99,143.0,234.0,33.950325,-117.473204,2340.0,NORTE VISTA HIGH
60245008786.0,2011,602450.0,99,99,21.0,127.0,38.398142,-120.811787,621.0,AMADOR HIGH
60245008787.0,2011,602450.0,99,99,16.0,126.0,38.356214,-120.792826,589.0,ARGONAUT HIGH
60263000169.0,2011,602630.0,99,99,20.0,279.0,33.833663,-117.924198,3331.0,ANAHEIM HIGH
60263000172.0,2011,602630.0,99,99,55.0,553.0,33.82019,-118.029181,2644.0,CYPRESS HIGH
60263000176.0,2011,602630.0,99,99,89.0,194.0,33.823994,-117.885502,2766.0,KATELLA HIGH
60263000177.0,2011,602630.0,99,99,32.0,362.0,33.840992,-118.037738,2425.0,JOHN F. KENNEDY HIGH
